GENEID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,log10padj
LOC_Os01g08410,1089.575918,-0.301055352,0.208980555,-1.440595828,0.1496989,0.273818655,0.562536967
LOC_Os01g08420,78.1154921,-0.651666443,0.515157843,-1.26506006,0.205849799,0.347932592,0.458504887
LOC_Os01g08430,225.0987025,-0.771118053,0.377427653,-2.042921361,0.041060223,0.095792984,1.018666299
LOC_Os01g08460,68.04937994,-1.43030849,0.801801521,-1.782879631,0.0746059,0.156846818,0.804524287
LOC_Os01g08480,31.86059097,-1.153024944,0.774077479,-1.489550916,0.136342356,0.255141315,0.593219211
LOC_Os01g08540,27.63048727,-0.636089802,1.046073307,-0.607434521,0.543562585,0.687359437,0.162816101
LOC_Os01g08580,278.1162857,0.304041821,0.322008297,0.944203758,0.345065535,0.507566953,0.294506662
LOC_Os01g08600,229.9513275,-0.176189181,0.373065075,-0.472262545,0.636739402,0.763175506,0.117375576
LOC_Os01g08660,305.3470456,-0.435358573,0.302332516,-1.439983441,0.149872084,0.274003502,0.562243887
LOC_Os01g08680,18.61982884,-0.469012219,1.155343088,-0.406797686,0.684156586,0.800497289,0.096640135
LOC_Os01g08690,24.21204443,1.499043814,0.856050869,1.750469468,0.080037338,0.166090934,0.779654072
LOC_Os01g08700,6941.760723,-0.456294189,0.133989827,-3.40543857,0.000660579,0.002519357,2.598710288
LOC_Os01g08770,95.9119964,0.785097898,0.55739373,1.408538581,0.158971651,0.286188983,0.543347089
LOC_Os01g08814,61.08993507,0.549342782,0.583184727,0.942015969,0.346184464,0.508642272,0.29358755
LOC_Os01g08830,41.28887617,1.628715687,0.735511556,2.213925586,0.026833898,0.06686591,1.174795238
LOC_Os01g08860,10.63440855,1.567840019,1.330595783,1.184445074,0.236236927,0.386025366,0.413384156
LOC_Os01g09000,1010.190202,0.116821204,0.22814126,0.512054883,0.608612599,0.740232483,0.130631861
LOC_Os01g09010,371.9056796,-0.665731147,0.293119174,-2.271179468,0.023136116,0.058920524,1.229733399
LOC_Os01g09020,367.6116322,-0.305305214,0.280911389,-1.086855058,0.277100871,0.43379878,0.362711674
LOC_Os01g09030,50.0495858,-0.087342053,0.704845145,-0.123860265,0.901425914,0.943831139,0.025105699
LOC_Os01g09200,465.1129934,0.517965675,0.284121952,1.823054035,0.068295207,0.145938808,0.835829205
LOC_Os01g09220,5510.628595,0.018951834,0.248793666,0.076173441,0.939281112,0.967818726,0.014205979
LOC_Os01g09246,421.2935533,0.592840987,0.314310385,1.886143274,0.05927565,0.129651557,0.887222262
LOC_Os01g09252,469.7467727,-0.489468886,0.243990074,-2.006097893,0.044845805,0.103186662,0.986376436
LOC_Os01g09280,140.8205922,0.746931825,0.425299836,1.756255856,0.079044731,0.164573682,0.783639614
LOC_Os01g09370,214.232031,-0.646514322,0.403245713,-1.603348902,0.108857646,0.213429343,0.670745871
LOC_Os01g09420,76.2118036,-0.212411351,0.602253356,-0.352642733,0.724356297,0.830429163,0.080697408
LOC_Os01g09430,4153.550778,-0.392990317,0.163981283,-2.396557325,0.016549905,0.044125601,1.355309366
LOC_Os01g09490,46.64898455,-1.219604343,1.400405449,-0.884869554,0.376226991,0.539141055,0.268297596
LOC_Os01g09510,1331.177062,-0.025714059,0.190626535,-0.134893595,0.892696004,0.93897758,0.027344777
LOC_Os01g09560,182.2913763,0.788025943,0.372337205,2.116388182,0.034311806,0.082293947,1.084632108
LOC_Os01g09740,29.88171097,-0.470671717,0.891678181,-0.527811013,0.597630512,0.73185321,0.135576018
LOC_Os01g09750,20.49700945,-1.685002089,0.996461033,-1.691871644,0.09067045,0.183980975,0.735227083
LOC_Os01g09760,88.66981078,0.307992526,0.550890493,0.559042343,0.576132822,0.714414126,0.146049967
LOC_Os01g09790,11.55799085,2.43398836,1.194314511,2.032311278,0.042122153,0.097801355,1.009655129
LOC_Os01g09890,387.9282286,0.423958002,0.289886791,1.462489864,0.14360702,0.265079186,0.576624371
LOC_Os01g10010,67.49215979,0.102026421,0.565152556,0.180514397,0.856748753,0.916493576,0.037870575
LOC_Os01g10020,70.85061809,0.504836782,0.568665373,0.887835679,0.374629148,0.537536634,0.269591932
LOC_Os01g10030,11.53393154,-0.119585379,1.342909528,-0.089125773,0.928981955,0.961352878,0.017117169
LOC_Os01g10040,37.86341178,1.410512381,0.876847934,1.608047692,0.107824734,0.211881742,0.673906464
LOC_Os01g10050,279.6857747,-0.279102261,0.324944369,-0.858901095,0.390395085,0.553697317,0.256727581
